Row Id,Track Name,Album Name,Artist Name(s),Release Date,Genres,Duration
235,This Is Revenge,Tokyo Revengers Original Soundtrack,Hiroaki Tsutsumi,2021-07-07,anime score,295666
236,Tokyo Revengers -Main Theme-,Tokyo Revengers Original Soundtrack,Hiroaki Tsutsumi,2021-07-07,anime score,211613
237,Fire Force -Main Theme-,TV Animation Fire Force Original Soundtrack,Kenichiro Suehiro,2019-12-11,"anime score,japanese soundtrack",209349
238,Death Note - Low of Solipsism - Remix,ANIME REMIXES,Rifti Beats,2020-07-21,lo-fi vgm,222466
239,My Hero Academia - Red Riot Theme - Remix,"ANIME REMIXES, Vol. 2","Rifti Beats,Trap Music Now",2020-12-18,"lo-fi vgm,meme",192000
240,Mob Psycho 100 - Explosion of Mob Feelings - Remix,ANIME REMIXES,"Rifti Beats,Trap Music Now",2020-07-21,"lo-fi vgm,meme",226850
241,thunderBOLTfantasy,Thunderbolt Fantasy 東離劍遊紀 オリジナルサウンドトラック,Hiroyuki Sawano,2016-08-24,"anime score,japanese soundtrack",335840
242,KINGDOM - DUE,TVアニメ「キングダム」 -合従軍編- Original Sound Track,Hiroyuki Sawano,2021-07-21,"anime score,japanese soundtrack",260532
243,Judgement,DEVILMAN crybaby (Original Soundtrack),Kensuke Ushio,2018-01-10,"anime score,japanese soundtrack",105573
244,Smells Blood,DEVILMAN crybaby (Original Soundtrack),Kensuke Ushio,2018-01-10,"anime score,japanese soundtrack",109280
245,D.V.M.N. -Theme From DEVILMAN crybaby-,DEVILMAN crybaby (Original Soundtrack),Kensuke Ushio,2018-01-10,"anime score,japanese soundtrack",214493
246,NO-BEAT,トライガン TRIGUN THE FIRST DONUTS,Tsuneo Imahori,1998-06-24,japanese prog,189500
247,ESIRNUS,Mobile Suit Gundam Hathaway Original Motion Picture Soundtrack,Hiroyuki Sawano,2021-06-11,"anime score,japanese soundtrack",310000
248,car5p3 / PENELOPE,Mobile Suit Gundam Hathaway Original Motion Picture Soundtrack,Hiroyuki Sawano,2021-06-11,"anime score,japanese soundtrack",318760
249,沸き上がる闘志,NARUTO -ナルト- オリジナルサウンドトラック,MUSASHI PROJECT,2003-03-19,anime,96613
250,劣勢,NARUTO -ナルト- オリジナルサウンドトラック,MUSASHI PROJECT,2003-03-19,anime,85413
251,激と撃,NARUTO -ナルト- オリジナルサウンドトラック,MUSASHI PROJECT,2003-03-19,anime,127466
252,水上切,劇場版NARUTO-ナルト- 疾風伝 オリジナルサウンドトラック,"Yasuharu Takanashi,YAIBA",2007-08-01,"anime,anime score,japanese celtic",113853
253,動天,劇場版NARUTO-ナルト- 疾風伝 オリジナルサウンドトラック,"Yasuharu Takanashi,YAIBA",2007-08-01,"anime,anime score,japanese celtic",130213
254,出陣,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,Yasuharu Takanashi,2007-12-19,"anime,anime score,japanese celtic",129973
255,暁,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,Yasuharu Takanashi,2007-12-19,"anime,anime score,japanese celtic",122133
256,電光石火,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,Yasuharu Takanashi,2007-12-19,"anime,anime score,japanese celtic",136120
257,乾坤一擲,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,Yasuharu Takanashi,2007-12-19,"anime,anime score,japanese celtic",138053
258,儀礼,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック Ⅱ,"Yasuharu Takanashi,YAIBA",2009-12-16,"anime,anime score,japanese celtic",134120
259,紅炎,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック Ⅱ,"Yasuharu Takanashi,YAIBA",2009-12-16,"anime,anime score,japanese celtic",150386
260,黒点,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック Ⅱ,"Yasuharu Takanashi,YAIBA",2009-12-16,"anime,anime score,japanese celtic",136333
261,飛段,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック Ⅱ,"Yasuharu Takanashi,YAIBA",2009-12-16,"anime,anime score,japanese celtic",91053
262,MADARA,ROAD TO NINJA -NARUTO THE MOVIE- Original Soundtrack,"Yasuharu Takanashi,YAIBA",2012-07-25,"anime,anime score,japanese celtic",97320
263,MADARA vs NARUTO,ROAD TO NINJA -NARUTO THE MOVIE- Original Soundtrack,"Yasuharu Takanashi,YAIBA",2012-07-25,"anime,anime score,japanese celtic",125626
264,My Name,ROAD TO NINJA -NARUTO THE MOVIE- Original Soundtrack,"Yasuharu Takanashi,YAIBA",2012-07-25,"anime,anime score,japanese celtic",138573
265,NARUTO and BORUTO,BORUTO -NARUTO THE MOVIE- Original Soundtrack,"Yasuharu Takanashi,YAIBA",2015-08-05,"anime,anime score,japanese celtic",138253
266,Spin and Burst,BORUTO -NARUTO THE MOVIE- Original Soundtrack,"Yasuharu Takanashi,YAIBA",2015-08-05,"anime,anime score,japanese celtic",171093
267,動天,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,Yasuharu Takanashi,2007-12-19,"anime,anime score,japanese celtic",183506
268,形勢逆転,NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,Yasuharu Takanashi,2007-12-19,"anime,anime score,japanese celtic",240946
269,The Devil,The Devil,Rok Nardin,2019-10-30,epicore,203075
270,The Rumbling,The Rumbling,"Rok Nardin,Samuel Kim",2021-01-22,"epicore,anime lo-fi",222812
271,Vegeta Super Saiyan Theme - Remix,Vegeta Super Saiyan Theme (Remix),Rifti Beats,2021-07-12,lo-fi vgm,210000
272,Akeboshi (From Demon Slayer Season 2) - Remix,Akeboshi (From Demon Slayer Season 2) [Remix],"Rifti Beats,shirobeats,Trap Music Now",2021-10-28,"lo-fi vgm,anime rap,meme",180923
273,IGNITE (Fairlane Remix) - SACRA BEATS Singles,IGNITE (Fairlane Remix) - SACRA BEATS Singles,"Eir Aoi,Fairlane",2021-10-29,"anime,anime rock,j-pixie,melodic dubstep,pop edm",220701
274,The Other Side of the Sea,Attack on Titan The Final Season Original Soundtrack,KOHTA YAMAMOTO,2021-06-23,anime,297493
275,The Warriors,Attack on Titan The Final Season Original Soundtrack,KOHTA YAMAMOTO,2021-06-23,anime,246413
276,Straw Doll Technique Resonance,Jujutsu Kaisen (Original Motion Picture Soundtrack),"Yoshimasa Terui,RIN",2021-04-21,anime,95308
277,Jujutsu Sorcerer Megumi Fushiguro,Jujutsu Kaisen (Original Motion Picture Soundtrack),Yoshimasa Terui,2021-04-21,anime,214218
278,Working Overtime,Jujutsu Kaisen (Original Motion Picture Soundtrack),Yoshimasa Terui,2021-04-21,anime,129241
279,Self-Embodiment Of Perfection,Jujutsu Kaisen (Original Motion Picture Soundtrack),Alisa Okehazama,2021-04-21,anime,112575
280,Giyu Tomioka Theme,Demon Slayer: Epic Collection Vol.2,Samuel Kim,2021-10-14,anime lo-fi,192534
281,Akaza Theme,Demon Slayer: Epic Collection,Samuel Kim,2021-05-21,anime lo-fi,157641
282,His/Story (「Thunderbolt Fantasy 東離劍遊紀2」OP ver.),Thunderbolt Fantasy 東離劍遊紀2 オリジナルサウンドトラック,Takanori Nishikawa,2018-12-26,anime,91160
283,katharsis,katharsis,TK from Ling tosite sigure,2018-11-21,"j-poprock,j-rock",266106
284,unravel,Fantastic Magic,TK from Ling tosite sigure,2014-08-27,"j-poprock,j-rock",238360
